user_id,date_created,MMD_order
msnv1,13:43:21.602000,"[27, 60, 11, 30, 62, 72, 28, 74, 5, 20, 76, 66, 9, 3]"
msnv2,15:05:38.579000,"[11, 74, 28, 66, 76, 5, 3, 27, 20, 9, 72, 62, 30, 60]"
msnv3,14:15:35.386000,"[76, 62, 11, 30, 74, 3, 28, 27, 72, 66, 5, 20, 60, 9]"
msnv4,16:07:11.527000,"[30, 27, 9, 72, 62, 5, 66, 20, 3, 60, 76, 28, 11, 74]"
msnv5,17:39:09.524000,"[20, 66, 11, 76, 9, 30, 28, 74, 3, 62, 60, 27, 72, 5]"
msnv6,09:29:00.245000,"[66, 27, 11, 20, 60, 9, 3, 74, 30, 28, 76, 72, 5, 62]"
msnv10,12:04:35.746000,"[72, 28, 20, 11, 74, 5, 3, 62, 66, 76, 30, 60, 27, 9]"
msnv21,13:31:38.808000,"[9, 30, 62, 74, 3, 76, 27, 11, 20, 60, 28, 5, 72, 66]"
msnv11,15:05:57.729000,"[76, 9, 5, 72, 62, 20, 27, 3, 74, 60, 11, 28, 30, 66]"
msnv9,17:57:05.542000,"[9, 30, 72, 74, 20, 60, 11, 66, 76, 3, 62, 27, 5, 28]"
msnv12,11:22:05.810000,"[28, 62, 5, 74, 76, 3, 9, 11, 30, 72, 27, 66, 20, 60]"
msnv13,13:09:33.174000,"[72, 9, 28, 11, 20, 76, 60, 27, 74, 3, 66, 5, 62, 30]"
msnv14,14:29:08.640000,"[3, 27, 74, 72, 11, 76, 60, 5, 62, 9, 30, 28, 66, 20]"
msnv15,15:41:31.253000,"[76, 74, 62, 3, 20, 9, 30, 72, 11, 27, 5, 66, 60, 28]"
msnv23,17:08:43.515000,"[11, 76, 74, 62, 9, 28, 72, 5, 66, 27, 20, 30, 60, 3]"
msnv16,12:28:47.494000,"[3, 74, 5, 20, 72, 11, 66, 28, 27, 9, 60, 30, 62, 76]"
msnv18,14:02:34.427000,"[11, 76, 27, 28, 74, 60, 9, 3, 30, 66, 62, 5, 72, 20]"
msnv24,15:38:06.484000,"[60, 3, 66, 11, 28, 5, 76, 74, 62, 20, 27, 30, 72, 9]"
msnv30,12:10:46.476000,"[3, 60, 20, 74, 66, 30, 11, 28, 5, 27, 72, 9, 62, 76]"
msnv25,13:44:45.860000,"[62, 20, 60, 27, 9, 30, 3, 11, 72, 66, 76, 28, 5, 74]"
msnv26,15:14:26.447000,"[27, 3, 76, 30, 60, 11, 66, 9, 20, 62, 5, 74, 72, 28]"
msnv17,16:40:24.668000,"[74, 28, 30, 3, 76, 20, 60, 11, 5, 27, 66, 62, 9, 72]"
msnv35,13:48:54.544000,"[11, 62, 76, 74, 28, 3, 66, 72, 27, 60, 30, 20, 5, 9]"
msnv36,15:18:17.469000,"[27, 5, 72, 62, 30, 20, 74, 3, 60, 9, 28, 76, 66, 11]"
msnv34,13:47:19.348000,"[28, 27, 11, 76, 30, 60, 20, 5, 66, 74, 9, 62, 72, 3]"
msnv37,16:36:33.444000,"[30, 9, 62, 28, 60, 20, 72, 11, 76, 74, 3, 27, 66, 5]"
msnv19,09:09:45.357000,"[20, 5, 74, 9, 72, 11, 76, 66, 3, 28, 30, 60, 27, 62]"
msnv42,12:46:47.169000,"[76, 11, 20, 62, 60, 27, 66, 9, 28, 72, 3, 30, 5, 74]"
msnv22,14:13:53.718000,"[74, 66, 30, 28, 62, 60, 72, 11, 9, 27, 3, 5, 20, 76]"
msnv38,15:37:10.038000,"[28, 72, 5, 66, 20, 9, 27, 74, 3, 30, 62, 60, 76, 11]"
msnv48,11:06:42.378000,"[76, 20, 60, 66, 30, 9, 27, 5, 74, 3, 11, 28, 72, 62]"
msnv49,11:05:02.603000,"[3, 30, 66, 28, 5, 11, 20, 62, 9, 60, 76, 74, 27, 72]"
msnv50,13:10:35.346000,"[5, 20, 76, 30, 3, 27, 72, 9, 62, 74, 11, 66, 28, 60]"
msnv51,14:30:16.512000,"[72, 27, 60, 74, 9, 30, 5, 66, 11, 3, 76, 20, 28, 62]"
msnv39,09:15:25.579000,"[66, 60, 3, 74, 20, 27, 30, 72, 62, 76, 11, 28, 5, 9]"
msnv43,10:43:26.146000,"[72, 27, 11, 74, 20, 60, 62, 5, 9, 76, 66, 28, 30, 3]"
msnv46,12:40:36.576000,"[3, 76, 66, 5, 60, 28, 72, 30, 74, 9, 27, 11, 20, 62]"
msnv41,12:51:32.235000,"[28, 9, 72, 20, 74, 30, 60, 66, 62, 3, 11, 27, 76, 5]"
msnv53,14:19:43.518000,"[30, 76, 62, 60, 9, 20, 74, 66, 72, 5, 27, 11, 28, 3]"
msnv44,15:42:23.035000,"[3, 9, 27, 62, 60, 76, 72, 66, 20, 74, 28, 11, 30, 5]"
msnv29,09:27:16.724000,"[3, 60, 66, 5, 72, 76, 30, 62, 28, 20, 27, 11, 74, 9]"
msnv54,14:00:30.853000,"[74, 66, 5, 11, 76, 60, 9, 3, 27, 30, 20, 28, 62, 72]"
msnv56,12:16:09.498000,"[9, 28, 66, 76, 20, 62, 5, 3, 74, 60, 27, 30, 11, 72]"
msnv28,13:58:07.912000,"[5, 3, 27, 76, 20, 30, 62, 9, 11, 60, 72, 28, 66, 74]"
msnv57,15:30:14.236000,"[20, 74, 72, 30, 66, 3, 9, 27, 62, 11, 60, 5, 28, 76]"
msnv60,09:20:28.012000,"[3, 66, 20, 9, 76, 27, 72, 11, 60, 5, 30, 62, 28, 74]"
msnv63,13:35:44.055000,"[72, 3, 9, 62, 27, 11, 5, 66, 60, 20, 28, 76, 74, 30]"
msnv64,14:57:14.492000,"[5, 62, 76, 30, 74, 20, 28, 66, 72, 27, 9, 11, 3, 60]"
msnv65,09:11:10.831000,"[9, 66, 20, 30, 60, 62, 74, 11, 3, 76, 28, 5, 27, 72]"
msnv66,10:33:25.947000,"[66, 62, 30, 28, 20, 11, 74, 60, 72, 3, 76, 9, 27, 5]"
msnv69,15:20:18.546000,"[62, 66, 27, 20, 28, 72, 74, 5, 3, 60, 76, 30, 11, 9]"
msnv20,18:30:51.725000,"[20, 27, 11, 5, 9, 30, 60, 3, 66, 62, 74, 76, 72, 28]"
msnv71,09:09:31.652000,"[66, 76, 30, 20, 60, 72, 11, 27, 9, 62, 3, 28, 5, 74]"
msnv68,10:25:51.369000,"[11, 76, 20, 28, 5, 27, 9, 3, 72, 60, 66, 74, 62, 30]"
msnv70,13:43:15.179000,"[30, 5, 66, 60, 3, 62, 76, 72, 27, 28, 20, 9, 74, 11]"
msnv74,12:51:09.237000,"[76, 5, 20, 74, 60, 27, 3, 30, 62, 28, 72, 66, 9, 11]"
msnv75,11:46:17.850000,"[74, 3, 20, 72, 66, 9, 28, 60, 62, 76, 30, 11, 5, 27]"
msnv76,13:47:04.138000,"[76, 74, 28, 30, 66, 60, 72, 3, 27, 20, 9, 11, 62, 5]"
msnv76Good,14:01:27.489000,"[30, 5, 60, 11, 9, 28, 72, 76, 66, 20, 62, 27, 74, 3]"
msnv77,15:00:00.565000,"[62, 27, 30, 3, 76, 5, 74, 9, 11, 66, 28, 60, 20, 72]"
msnv78,16:42:46.386000,"[74, 3, 72, 30, 27, 28, 60, 66, 11, 5, 20, 9, 62, 76]"
msnv85,12:14:28.212000,"[72, 76, 11, 60, 66, 28, 62, 3, 5, 9, 27, 30, 20, 74]"
msnv79,14:17:34,"[5, 76, 74, 30, 27, 9, 62, 3, 60, 66, 72, 11, 20, 28]"
msnv73,15:51:31.868000,"[3, 30, 27, 20, 11, 28, 72, 62, 74, 5, 76, 9, 66, 60]"
msnv82,10:55:51.397000,"[3, 72, 62, 66, 74, 27, 20, 9, 76, 30, 60, 28, 5, 11]"
msnv81,12:32:12.203000,"[27, 11, 76, 60, 28, 74, 62, 9, 66, 5, 30, 3, 72, 20]"
msnv84,14:04:43.760000,"[74, 66, 72, 11, 27, 3, 20, 62, 5, 60, 76, 28, 30, 9]"
msnv83,15:21:07.677000,"[5, 72, 28, 20, 62, 76, 74, 3, 27, 60, 66, 9, 30, 11]"
